30

2 0 576 44736 234624 82944
2 0 1728 44928 240192 76032
2 0 768 42624 241152 78336
2 0 1536 33792 253824 73728
1 0 960 131520 230400 0
1 0 6912 132480 223488 0
1 0 6912 132480 223488 0
2 0 0 17280 276480 69120
2 0 0 38400 232320 92160
1 0 0 120960 241920 0
2 0 0 0 362880 0

2 40 3880 62320 224640 72000
2 0 2400 57360 234000 69120
2 0 0 51840 246240 64800
1 0 3600 111600 247680 0
1 40 6280 117520 239040 0
1 0 3840 121440 237600 0
1 160 12640 128320 221760 0
1 0 7200 133920 221760 0
1 720 20880 145440 195840 0
2 0 120 25800 236160 100800
2 0 480 30240 228480 103680
2 0 0 25920 241920 95040
2 0 960 36480 227520 97920
2 0 3840 55680 211200 92160
1 0 2400 109920 250560 0
1 0 3600 105840 253440 0
1 0 8640 100800 253440 0
